Graph ID,Number of Segments,Mean Length,Mean Radius,Total Volume,Total Length,Number of Nodes,Intermediate Nodes,Terminal Nodes,Branching Nodes,Isolated Nodes
Graph0,200,983.6394,303.07516,96589660000,196727.88,155,0,45,110,0
Graph1,89,845.06628,97.104324,5445011500,75210.898,71,0,23,48,0
Graph2,74,609.1745,102.70184,2366508000,45078.914,55,0,12,43,0
Graph3,60,880.33484,172.59926,7518077400,52820.09,46,0,11,35,0
Graph4,56,861.17694,100.75759,1852575600,48225.91,50,0,21,29,0
Graph5,55,754.2041,193.60831,6120660500,41481.227,44,0,13,31,0
Graph6,50,678.88025,102.67739,1695821600,33944.012,40,0,14,26,0
Graph7,49,963.1839,554.21466,72917860000,47196.012,37,0,9,28,0
Graph8,45,915.36285,174.32127,7274116600,41191.328,40,0,17,23,0
Graph9,33,724.31317,299.69864,7847995900,23902.334,24,0,4,20,0
Graph10,32,1240.2892,214.28664,8561230300,39689.254,29,0,12,17,0
Graph11,31,812.08954,130.96971,1832679400,25174.775,27,0,10,17,0
Graph12,26,742.51532,220.51952,3190423000,19305.398,19,0,4,15,0
Graph13,25,656.43982,57.866138,218620660,16410.996,24,0,12,12,0
Graph14,25,772.1333,124.24214,1194759200,19303.332,19,0,6,13,0
Graph15,22,1243.2686,468.10892,26042358000,27351.908,18,0,5,13,0
Graph16,18,782.24286,63.351521,211022370,14080.371,16,0,6,10,0
Graph17,17,1010.7448,328.39749,9865538600,17182.662,14,0,5,9,0
Graph18,16,1407.6902,146.60187,9852223500,22523.043,16,0,8,8,0
Graph19,16,766.76935,197.00662,3307026400,12268.31,12,0,3,9,0
Graph20,15,858.64722,228.63998,3148181000,12879.708,12,0,5,7,0
Graph21,15,936.59906,152.25871,1412333600,14048.986,12,0,3,9,0
Graph22,12,853.69257,73.174187,188452740,10244.311,9,0,2,7,0
Graph23,11,1518.8016,601.90717,16273199000,16706.818,10,0,4,6,0
Graph24,11,910.59198,241.09908,2935267600,10016.512,10,0,4,6,0
Graph25,11,713.7392,82.078911,344577410,7851.1313,10,0,5,5,0
Graph26,10,983.724,264.97235,2712546600,9837.2402,9,0,4,5,0
Graph27,10,1339.7753,616.2865,21978843000,13397.753,10,0,5,5,0
Graph28,10,858.91052,62.702312,130355760,8589.1055,10,0,5,5,0
Graph29,10,744.68152,154.72993,952017410,7446.8154,8,0,2,6,0
Graph30,10,1344.4263,395.27679,10910937000,13444.263,10,0,5,5,0
Graph31,10,1085.6948,502.11172,11318439000,10856.948,8,0,2,6,0
Graph32,9,589.44299,139.67722,768821310,5304.9868,9,0,5,4,0
Graph33,9,866.60321,254.6506,1611150100,7799.4287,7,0,2,5,0
Graph34,9,685.54327,158.97578,663062080,6169.8896,8,0,3,5,0
Graph35,8,557.47119,42.381153,28203968,4459.7695,8,0,4,4,0
Graph36,8,499.42941,66.593887,57169600,3995.4353,8,0,4,4,0
Graph37,8,992.43878,189.43593,3827698200,7939.5103,5,0,1,4,0
Graph38,8,1409.2515,271.82166,2973086700,11274.012,8,0,4,4,0
Graph39,8,682.56519,220.81708,1130549600,5460.5215,8,0,4,4,0
Graph40,7,623.63684,32.072224,14552358,4365.458,8,0,5,3,0
Graph41,7,899.96637,310.93655,2116908300,6299.7646,8,0,5,3,0
Graph42,7,660.57532,92.554123,109617950,4624.0273,8,0,5,3,0
Graph43,6,595.82355,33.285084,19894856,3574.9414,6,0,3,3,0
Graph44,6,797.38934,124.94376,669778500,4784.3359,5,0,2,3,0
Graph45,6,713.75079,91.889534,383523040,4282.5049,5,0,2,3,0
Graph46,5,588.94226,54.952431,29355146,2944.7112,6,0,4,2,0
Graph47,5,1442.4995,246.32207,1725423600,7212.4976,6,0,4,2,0
Graph48,5,1668.0416,347.2757,3776483100,8340.208,6,0,4,2,0
Graph49,5,981.01501,172.27467,373266340,4905.0752,6,0,4,2,0
Graph50,5,1591.2156,669.91248,9053396000,7956.0781,6,0,4,2,0
Graph51,5,1060.8967,100.06412,207271890,5304.4834,4,0,1,3,0
Graph52,5,1060.363,146.66699,1155217900,5301.8154,4,0,1,3,0
Graph53,5,1468.9036,587.69708,9998102500,7344.5176,4,0,1,3,0
Graph54,5,700.05847,214.21301,594985410,3500.2925,6,0,4,2,0
Graph55,4,879.62341,360.55106,2325741600,3518.4937,4,0,2,2,0
Graph56,4,1183.4757,101.75542,420418270,4733.9028,4,0,2,2,0
Graph57,4,702.30304,94.789825,95592752,2809.2122,5,0,4,1,0
Graph58,4,947.30652,136.11754,184877780,3789.2261,4,0,2,2,0
Graph59,4,901.89655,225.22913,531694050,3607.5862,4,0,2,2,0
Graph60,4,672.06488,58.753426,33827012,2688.2595,5,0,4,1,0
Graph61,4,654.22791,44.311649,22787140,2616.9116,4,0,2,2,0
Graph62,4,1628.0813,348.56186,5324185600,6512.3252,4,0,2,2,0
Graph63,4,1585.4745,195.03314,801034750,6341.8979,4,0,2,2,0
Graph64,3,847.461,49.868896,35513160,2542.3831,3,0,2,1,0
Graph65,3,960.18066,114.76174,220030500,2880.542,2,0,0,2,0
Graph66,3,393.29031,37.728207,7551799.5,1179.871,4,0,3,1,0
Graph67,3,358.48679,55.485138,9723568,1075.4603,4,0,3,1,0
Graph68,3,698.06085,39.674244,15898062,2094.1826,4,0,3,1,0
Graph69,3,748.69287,83.362106,63818120,2246.0786,4,0,3,1,0
Graph70,3,1083.8324,233.52356,2214889500,3251.4971,4,0,3,1,0
Graph71,3,646.04346,73.215019,34547072,1938.1304,4,0,3,1,0
Graph72,3,818.92627,83.140663,58415708,2456.7788,4,0,3,1,0
Graph73,3,795.34418,54.593735,26340842,2386.0325,2,0,0,2,0
Graph74,3,1109.9823,311.76212,1141957600,3329.9468,4,0,3,1,0
Graph75,3,653.93732,109.2664,68700320,1961.8119,4,0,3,1,0
Graph76,3,649.7395,36.230206,9437432,1949.2185,4,0,3,1,0
Graph77,3,476.94345,70.728233,27513146,1430.8303,4,0,3,1,0
Graph78,3,477.6962,25.907698,3021903.5,1433.0886,4,0,3,1,0
Graph79,3,1514.293,36.135162,21848652,4542.8789,4,0,3,1,0
Graph80,3,663.69183,43.267071,12705028,1991.0756,4,0,3,1,0
Graph81,2,1175.6807,270.73041,410556510,2351.3613,2,0,1,1,0
Graph82,2,415.39597,63.967621,25744212,830.79193,2,0,1,1,0
Graph83,2,906.51874,55.860161,44390300,1813.0375,2,0,1,1,0
Graph84,2,422.46729,58.651482,11730411,844.93457,2,0,1,1,0
Graph85,2,1090.8253,71.62278,39213668,2181.6506,2,0,1,1,0
Graph86,2,1193.9001,437.21747,1302915800,2387.8003,2,0,1,1,0
Graph87,2,259.71365,60.054741,11995926,519.42731,2,0,1,1,0
Graph88,2,1304.374,241.13551,664366270,2608.748,2,0,1,1,0
Graph89,2,517.83026,55.616753,14152551,1035.6605,2,0,1,1,0
Graph90,2,2139.6587,192.9527,620204100,4279.3174,2,0,1,1,0
Graph91,2,309.60254,29.293697,1835249.5,619.20508,2,0,1,1,0
Graph92,2,556.83411,137.03952,88176056,1113.6682,2,0,1,1,0
Graph93,2,2121.8777,273.48093,1603188100,4243.7554,2,0,1,1,0
Graph94,2,589.80701,39.899918,7082347,1179.614,2,0,1,1,0
Graph95,2,91.665909,25.907698,386585.34,183.33182,1,0,0,1,0
Graph96,2,287.56729,99.097443,47995408,575.13458,2,0,1,1,0
Graph97,2,2645.3765,128.06815,383660420,5290.7529,2,0,1,1,0
Graph98,2,1501.4426,104.82964,128890730,3002.8853,2,0,1,1,0
Graph99,1,508.04059,33.656319,2039324.6,508.04059,2,0,2,0,0
Graph100,1,548.69568,25.907696,1157015.1,548.69568,2,0,2,0,0
Graph101,1,343.24161,82.516655,7512354,343.24161,2,0,2,0,0
Graph102,1,2007.01,322.21286,662236220,2007.01,2,0,2,0,0
Graph103,1,331.02777,38.242805,1276190.8,331.02777,2,0,2,0,0
Graph104,1,1673.9535,174.81459,189394350,1673.9535,2,0,2,0,0
Graph105,1,1034.964,113.75864,42027528,1034.964,2,0,2,0,0
Graph106,1,323.89175,60.214752,3556086.8,323.89175,2,0,2,0,0
Graph107,1,406.22119,25.907698,856584.25,406.22119,2,0,2,0,0
Graph108,1,2879.7239,670.7348,4790253600,2879.7239,2,0,2,0,0
Graph109,1,408.53558,32.075676,1260651.6,408.53558,2,0,2,0,0
Graph110,1,1188.3235,83.177017,28832616,1188.3235,2,0,2,0,0
Graph111,1,399.29059,32.076,1219550.9,399.29059,2,0,2,0,0
Graph112,1,667.29382,35.489437,2741095,667.29382,2,0,2,0,0
Graph113,1,727.0022,66.683922,10903192,727.0022,2,0,2,0,0
Graph114,1,706.07867,61.606388,12181042,706.07867,2,0,2,0,0
Graph115,1,431.12259,65.364014,5690323.5,431.12259,2,0,2,0,0
Graph116,1,400.73242,25.907698,845010.31,400.73242,2,0,2,0,0
Graph117,1,587.15741,36.000473,2740140.5,587.15741,2,0,2,0,0
Graph118,1,938.12085,34.512135,3733030.5,938.12085,2,0,2,0,0
Graph119,1,474.68005,33.76667,1814298.4,474.68005,2,0,2,0,0
Graph120,1,1023.5179,53.979168,10399476,1023.5179,2,0,2,0,0
Graph121,1,1202.9658,98.777817,41494908,1202.9658,2,0,2,0,0
Graph122,1,395.73264,25.907698,834467.5,395.73264,2,0,2,0,0
Graph123,1,273.08301,84.478798,6062890.5,273.08301,2,0,2,0,0
Graph124,1,1065.5116,80.65831,28936318,1065.5116,2,0,2,0,0
Graph125,1,309.74365,25.907698,653145.5,309.74365,2,0,2,0,0
Graph126,1,1302.3341,49.716862,11525298,1302.3341,2,0,2,0,0
Graph127,1,573.44098,46.198524,3970205.5,573.44098,2,0,2,0,0
Graph128,1,1147.9954,25.90769,2420737,1147.9954,2,0,2,0,0
Graph129,1,505.935,57.004074,5500209.5,505.935,2,0,2,0,0
Graph130,1,413.38501,25.907698,871690.38,413.38501,2,0,2,0,0
Graph131,1,362.31915,33.623367,1562440.4,362.31915,2,0,2,0,0
Graph132,1,673.71942,25.907696,1420648.4,673.71942,2,0,2,0,0
Graph133,1,3001.5474,337.94604,1127380400,3001.5474,2,0,2,0,0
Graph134,1,301.54529,64.375854,3820735.8,301.54529,2,0,2,0,0
Graph135,1,553.91943,77.375069,10408664,553.91943,2,0,2,0,0
Graph136,1,335.46774,25.907698,707389,335.46774,2,0,2,0,0
Graph137,1,430.69049,136.40207,25096478,430.69049,2,0,2,0,0
Graph138,1,415.78448,32.972771,1367349.8,415.78448,2,0,2,0,0
Graph139,1,611.24042,25.907696,1288901.3,611.24042,2,0,2,0,0
Graph140,1,871.02173,97.475319,31014744,871.02173,2,0,2,0,0
Graph141,1,290.89285,81.159302,6203172,290.89285,2,0,2,0,0
Graph142,1,352.09775,25.907698,742456.06,352.09775,2,0,2,0,0
Graph143,1,356.43561,61.105473,3986909,356.43561,2,0,2,0,0
Graph144,1,338.91461,25.907698,714657.31,338.91461,2,0,2,0,0
Graph145,1,361.83536,82.180717,7556114,361.83536,2,0,2,0,0
Graph146,1,370.25079,54.026932,3627176.8,370.25079,2,0,2,0,0
Graph147,1,927.03076,171.59795,87288528,927.03076,2,0,2,0,0
Graph148,1,365.74811,25.907698,771240.19,365.74811,2,0,2,0,0
Graph149,1,1352.2864,360.90976,552859900,1352.2864,2,0,2,0,0
Graph150,1,582.54803,145.16124,40583012,582.54803,2,0,2,0,0
Graph151,1,362.10129,25.907698,763550.13,362.10129,2,0,2,0,0
Graph152,1,384.39215,25.907698,810554.13,384.39215,2,0,2,0,0
Graph153,1,378.21265,30.070681,1162076.6,378.21265,2,0,2,0,0
Graph154,1,722.03131,43.73291,4374977.5,722.03131,2,0,2,0,0
Graph155,1,999.06573,36.560699,4386768,999.06573,2,0,2,0,0
Graph156,1,1004.2476,201.20526,129984720,1004.2476,2,0,2,0,0
Graph157,1,547.16449,96.096909,16304713,547.16449,2,0,2,0,0
Graph158,1,530.88489,61.268642,7966770,530.88489,2,0,2,0,0
Graph159,1,464.11047,65.16967,5838289,464.11047,2,0,2,0,0
Graph160,1,499.14392,37.901352,2484972.3,499.14392,2,0,2,0,0
Graph161,1,819.03961,25.907692,1727079.8,819.03961,2,0,2,0,0
Graph162,1,635.64276,62.437866,7685380,635.64276,2,0,2,0,0
Graph163,1,1200.0724,254.4933,239520450,1200.0724,2,0,2,0,0
Graph164,1,533.89667,83.630684,11799672,533.89667,2,0,2,0,0
Graph165,1,271.07251,25.907698,571601.06,271.07251,2,0,2,0,0
Graph166,1,868.56683,54.479202,8845924,868.56683,2,0,2,0,0
Graph167,1,1512.3097,42.156319,10757436,1512.3097,2,0,2,0,0
Graph168,1,441.1261,64.028519,5570101.5,441.1261,2,0,2,0,0
Graph169,1,1451.2444,89.62709,38355428,1451.2444,2,0,2,0,0
Graph170,1,779.46283,32.548244,2505469.3,779.46283,2,0,2,0,0
Graph171,1,305.45474,25.907698,644101.63,305.45474,2,0,2,0,0
Graph172,1,522.34497,25.907696,1101450.5,522.34497,2,0,2,0,0
Graph173,1,1200.4683,35.000996,4880442,1200.4683,2,0,2,0,0
Graph174,1,817.65338,176.66649,120023140,817.65338,2,0,2,0,0
Graph175,1,354.1543,25.907698,746792.63,354.1543,2,0,2,0,0
Graph176,1,310.28357,498.13571,241896270,310.28357,2,0,2,0,0
Graph177,1,324.63358,62.463924,3808523.8,324.63358,2,0,2,0,0
Graph178,1,349.99622,40.302738,1921177,349.99622,2,0,2,0,0
Graph179,1,495.80948,69.678024,8631576,495.80948,2,0,2,0,0
Graph180,1,834.06696,47.205097,6576166,834.06696,2,0,2,0,0
Graph181,1,408.39392,61.08865,4691557.5,408.39392,2,0,2,0,0
Graph182,1,305.35535,57.967731,3053309.3,305.35535,2,0,2,0,0
Graph183,1,367.34778,32.544922,1341104.5,367.34778,2,0,2,0,0
Graph184,1,343.67233,53.052921,2931387.8,343.67233,2,0,2,0,0
Graph185,1,658.7265,25.907696,1389033.3,658.7265,2,0,2,0,0
Graph186,1,558.84106,34.098759,2053624.3,558.84106,2,0,2,0,0
Graph187,1,650.40704,73.809052,11130190,650.40704,2,0,2,0,0
Graph188,1,363.3299,26.214945,786550.06,363.3299,2,0,2,0,0
Graph189,1,897.9361,317.08871,281664290,897.9361,2,0,2,0,0
Graph190,1,1188.0831,25.90769,2505269,1188.0831,2,0,2,0,0
Graph191,1,426.39551,25.907698,899125.13,426.39551,2,0,2,0,0
Graph192,1,357.13992,25.907698,753088.31,357.13992,2,0,2,0,0
Graph193,1,409.80255,25.907698,864136.19,409.80255,2,0,2,0,0
Graph194,1,289.22141,61.318615,3290341.3,289.22141,2,0,2,0,0
Graph195,1,476.23987,106.72704,16747994,476.23987,2,0,2,0,0
Graph196,1,392.13058,85.514633,8660910,392.13058,2,0,2,0,0
Graph197,1,576.19678,30.596577,1900031.8,576.19678,2,0,2,0,0
Graph198,1,403.5007,25.907698,850847.69,403.5007,2,0,2,0,0
Graph199,1,1999.1229,268.45282,466232990,1999.1229,2,0,2,0,0
Graph200,1,910.91071,105.56096,32070858,910.91071,2,0,2,0,0
Graph201,1,294.267,105.65232,10052225,294.267,2,0,2,0,0
Graph202,1,743.83221,90.164261,20523600,743.83221,2,0,2,0,0
Graph203,1,722.35925,70.535324,11703852,722.35925,2,0,2,0,0
Graph204,1,389.97375,25.907698,822323.94,389.97375,2,0,2,0,0
Graph205,1,274.27481,25.907698,578353.56,274.27481,2,0,2,0,0
Graph206,1,767.17249,113.62788,45267804,767.17249,2,0,2,0,0
Graph207,1,257.93097,86.980591,6158483,257.93097,2,0,2,0,0
Graph208,1,410.39246,25.907698,865380.13,410.39246,2,0,2,0,0
Graph209,1,422.95801,38.36314,2136609,422.95801,2,0,2,0,0
Graph210,1,369.63077,25.907698,779427.38,369.63077,2,0,2,0,0
Graph211,1,344.76163,25.907698,726986.69,344.76163,2,0,2,0,0
Graph212,1,905.7641,42.622433,6013105.5,905.7641,2,0,2,0,0
Graph213,1,438.43481,35.406765,1858264,438.43481,2,0,2,0,0
Graph214,1,531.1286,61.354362,6622159.5,531.1286,2,0,2,0,0
Graph215,1,711.63019,58.041965,8345054,711.63019,2,0,2,0,0
Graph216,1,622.08246,65.619118,11066074,622.08246,2,0,2,0,0
Graph217,1,422.44385,25.907698,890792.5,422.44385,2,0,2,0,0
Graph218,1,319.30658,29.715893,995173.25,319.30658,2,0,2,0,0
Graph219,1,405.66772,74.483643,6719333.5,405.66772,2,0,2,0,0
Graph220,1,1051.3046,45.338863,7300242,1051.3046,2,0,2,0,0
Graph221,1,1513.9747,66.175224,23820276,1513.9747,2,0,2,0,0
Graph222,1,1049.38,42.256828,6461747.5,1049.38,2,0,2,0,0
Graph223,1,476.86285,25.907696,1005543.9,476.86285,2,0,2,0,0
Graph224,1,300.2179,25.907698,633058.94,300.2179,2,0,2,0,0
Graph225,1,3110.1733,307.54044,1418406900,3110.1733,2,0,2,0,0
Graph226,1,290.92633,25.907698,613466.06,290.92633,2,0,2,0,0
Graph227,1,386.92773,25.907698,815900.81,386.92773,2,0,2,0,0
Graph228,1,514.66931,25.907698,1085265.1,514.66931,2,0,2,0,0
Graph229,1,414.39453,138.6232,24876704,414.39453,2,0,2,0,0
Graph230,1,418.38153,25.907698,882226.31,418.38153,2,0,2,0,0
Graph231,1,1184.0186,25.907692,2496698.5,1184.0186,2,0,2,0,0
Graph232,1,555.85175,25.907696,1172105.1,555.85175,2,0,2,0,0
Graph233,1,693.55731,34.873051,2898115.8,693.55731,2,0,2,0,0
Graph234,1,356.33279,25.907698,751386.38,356.33279,2,0,2,0,0
Graph235,1,345.33224,82.317963,7229743,345.33224,2,0,2,0,0
Graph236,1,885.54871,127.19978,44451304,885.54871,2,0,2,0,0
Graph237,1,460.16428,63.972298,5796519,460.16428,2,0,2,0,0
Graph238,1,632.97583,25.907694,1334733.9,632.97583,2,0,2,0,0
Graph239,1,767.22894,29.228952,1897171,767.22894,2,0,2,0,0
Graph240,1,2891.542,78.573524,81614560,2891.542,2,0,2,0,0
Graph241,1,593.56036,26.873688,1368585.1,593.56036,2,0,2,0,0
Graph242,1,695.99719,27.795019,1787940.4,695.99719,2,0,2,0,0
Graph243,1,315.23322,25.907698,664721.13,315.23322,2,0,2,0,0
Graph244,1,693.61029,228.52826,112486820,693.61029,2,0,2,0,0
Graph245,1,575.69775,44.792763,3591781,575.69775,2,0,2,0,0
Graph246,1,367.60712,358.18323,148742270,367.60712,2,0,2,0,0
Graph247,1,837.8454,38.521683,4612331,837.8454,2,0,2,0,0
Graph248,1,653.01385,61.933727,7925442,653.01385,2,0,2,0,0
Graph249,1,469.82159,25.907698,990696.13,469.82159,2,0,2,0,0
Graph250,1,386.97583,25.907698,816002.25,386.97583,2,0,2,0,0
Graph251,1,309.93723,102.7349,10362545,309.93723,2,0,2,0,0
Graph252,1,1129.9235,70.216537,21929946,1129.9235,2,0,2,0,0
Graph253,1,471.1163,27.441137,1139415.3,471.1163,2,0,2,0,0
Graph254,1,429.08408,25.907698,904794.5,429.08408,2,0,2,0,0
Graph255,1,264.05014,25.907698,556793.19,264.05014,2,0,2,0,0
Graph256,1,1778.2358,53.735687,18507246,1778.2358,2,0,2,0,0
Graph257,1,513.93805,69.015511,7665797.5,513.93805,2,0,2,0,0
Graph258,1,761.60333,52.599007,6595414,761.60333,2,0,2,0,0
Graph259,1,259.07813,69.084366,3884565.5,259.07813,2,0,2,0,0
Graph260,1,485.15683,84.444176,11192658,485.15683,2,0,2,0,0
Graph261,1,713.37128,196.43761,85261928,713.37128,2,0,2,0,0
Graph262,1,356.71136,32.075352,1164995.6,356.71136,2,0,2,0,0
Graph263,1,447.3562,33.7617,1807846.4,447.3562,2,0,2,0,0
Graph264,1,1189.7507,61.304264,14474021,1189.7507,2,0,2,0,0
Graph265,1,464.07727,113.87201,18666810,464.07727,2,0,2,0,0
Graph266,1,1653.2026,57.967403,24107918,1653.2026,2,0,2,0,0
Graph267,1,693.69379,49.300999,5702605.5,693.69379,2,0,2,0,0
Graph268,1,429.41394,43.737858,2369511.8,429.41394,2,0,2,0,0
Graph269,1,314.40796,25.907698,662981,314.40796,2,0,2,0,0
Graph270,1,375.69739,31.25536,1351710.9,375.69739,2,0,2,0,0
Graph271,1,289.65268,25.907698,610780.38,289.65268,2,0,2,0,0
Graph272,1,641.11554,93.419434,18941342,641.11554,2,0,2,0,0
Graph273,1,903.5899,29.703642,2707745.8,903.5899,2,0,2,0,0
Graph274,1,278.91074,65.724213,3733611.5,278.91074,2,0,2,0,0
Graph275,1,640.22192,48.625,5336544,640.22192,2,0,2,0,0
Graph276,1,408.04568,66.282631,5550692,408.04568,2,0,2,0,0
Graph277,1,262.49646,25.907698,553517,262.49646,2,0,2,0,0
Graph278,1,488.15167,25.907698,1029348.1,488.15167,2,0,2,0,0
Graph279,1,367.77899,49.548244,2673860.8,367.77899,2,0,2,0,0
Graph280,1,448.18411,30.704674,1230532.4,448.18411,2,0,2,0,0
Graph281,1,667.17761,61.135025,7763019.5,667.17761,2,0,2,0,0
Graph282,1,1309.5994,58.900375,17393552,1309.5994,2,0,2,0,0
Graph283,1,508.36328,36.205025,2209253.3,508.36328,2,0,2,0,0
Graph284,1,460.38531,25.907698,970798.19,460.38531,2,0,2,0,0
Graph285,1,2561.043,39.438461,14386141,2561.043,2,0,2,0,0
Graph286,1,404.63037,25.907698,853229.75,404.63037,2,0,2,0,0
Graph287,1,643.49774,141.65613,41273356,643.49774,2,0,2,0,0
Graph288,1,337.43463,29.884842,1058530,337.43463,2,0,2,0,0
Graph289,1,350.76675,25.907698,739649.44,350.76675,2,0,2,0,0
Graph290,1,851.33362,57.793362,11407511,851.33362,2,0,2,0,0
Graph291,1,746.51593,25.907694,1574151.8,746.51593,2,0,2,0,0
Graph292,1,509.50528,97.222061,15448063,509.50528,2,0,2,0,0
Graph293,1,445.327,48.74453,3705093,445.327,2,0,2,0,0
Graph294,1,371.59296,39.512829,2001831.3,371.59296,2,0,2,0,0
Graph295,1,333.03146,25.907698,702251.69,333.03146,2,0,2,0,0
Graph296,1,328.67044,64.277321,4041751,328.67044,2,0,2,0,0
Graph297,1,589.78735,43.183002,3445746.5,589.78735,2,0,2,0,0
Graph298,1,636.39063,38.939175,3843845,636.39063,2,0,2,0,0
Graph299,1,328.50327,111.83474,13262074,328.50327,2,0,2,0,0
Graph300,1,764.13452,163.37059,63482344,764.13452,2,0,2,0,0
Graph301,1,310.98059,25.907698,655753.81,310.98059,2,0,2,0,0
Graph302,1,345.11035,70.135651,5163015.5,345.11035,2,0,2,0,0
Graph303,1,329.43521,71.566742,5367626.5,329.43521,2,0,2,0,0
Graph304,1,467.71411,141.25618,28876050,467.71411,2,0,2,0,0
Graph305,1,349.98328,406.60214,182022290,349.98328,2,0,2,0,0
Graph306,1,1120.8341,143.11166,73523296,1120.8341,2,0,2,0,0
Graph307,1,563.95929,74.999847,10074187,563.95929,2,0,2,0,0
Graph308,1,296.71539,84.141365,6547810,296.71539,2,0,2,0,0
Graph309,1,520.92065,145.25363,33571648,520.92065,2,0,2,0,0
Graph310,1,486.46729,46.142765,3991980.5,486.46729,2,0,2,0,0
Graph311,1,314.89056,403.88953,159779660,314.89056,2,0,2,0,0
Graph312,1,530.2876,25.907696,1118198.6,530.2876,2,0,2,0,0
Graph313,1,401.23169,63.234982,4942751.5,401.23169,2,0,2,0,0
Graph314,1,450.134,85.340363,10282277,450.134,2,0,2,0,0
Graph315,1,469.71613,65.949951,6388601.5,469.71613,2,0,2,0,0
Graph316,1,979.87775,56.348286,12717007,979.87775,2,0,2,0,0
Graph317,1,1502.2828,110.85912,65194924,1502.2828,2,0,2,0,0
Graph318,1,572.03558,25.907696,1206231.3,572.03558,2,0,2,0,0
Graph319,1,1239.3676,291.80566,335742020,1239.3676,2,0,2,0,0
Graph320,1,420.2106,25.907698,886083.25,420.2106,2,0,2,0,0
Graph321,1,725.11279,553.04596,693304510,725.11279,2,0,2,0,0
Graph322,1,372.68326,25.907698,785864.06,372.68326,2,0,2,0,0
Graph323,1,1086.6212,71.894218,19467508,1086.6212,2,0,2,0,0
Graph324,1,738.22247,59.034618,8070576,738.22247,2,0,2,0,0
Graph325,1,486.02911,57.027676,5229803.5,486.02911,2,0,2,0,0
Graph326,1,764.81665,123.07938,35516308,764.81665,2,0,2,0,0
Graph327,1,1089.2867,80.436653,23406266,1089.2867,2,0,2,0,0
Graph328,1,281.5672,219.90907,42422792,281.5672,2,0,2,0,0
Graph329,1,264.17578,48.854206,2149535,264.17578,2,0,2,0,0
Graph330,1,787.01117,66.148293,18176446,787.01117,2,0,2,0,0
Graph331,1,340.36505,38.545525,1620719.6,340.36505,2,0,2,0,0
Graph332,1,449.63702,25.907698,948133.69,449.63702,2,0,2,0,0
Graph333,1,273.082,107.19898,9993665,273.082,2,0,2,0,0
